Year,Month,No.Of Males Unemployed(15M24),No.Of Females Unemployed (15M24),Total No.Of persons Unemployed(15M24),Percentage of Males Unemployed(15M24),Percentage of Females Unemployed(15M24),Percentage of all persons Unemployed(15M24),No.Of Males Unemployed(25M74),No.Of Females Unemployed (25M74),Total No.Of persons Unemployed(25M74),Percentage of Males Unemployed(25M74),Percentage of Females Unemployed(25M74),Percentage of all persons Unemployed(25M74)
2014,1,30200.00,22200.00,52400.00,28.00,23.70,26.00,134100.00,76400.00,210500.00,12.40,8.80,10.80
2014,2,30600.00,21600.00,52200.00,28.50,23.50,26.20,133900.00,75000.00,208900.00,12.40,8.60,10.70
2014,3,30000.00,21500.00,51400.00,28.10,23.50,26.00,133100.00,73900.00,207000.00,12.30,8.50,10.60
2014,4,28800.00,21000.00,49800.00,27.30,23.20,25.40,131800.00,70200.00,202000.00,12.20,8.10,10.40
2014,5,28100.00,20400.00,48500.00,26.80,22.70,24.90,130200.00,69900.00,200100.00,12.10,8.00,10.30
2014,6,27200.00,19800.00,47100.00,26.20,21.90,24.20,127100.00,69900.00,197000.00,11.80,8.00,10.10
2014,7,26800.00,19000.00,45800.00,26.00,20.60,23.50,124000.00,72100.00,196100.00,11.50,8.30,10.00
2014,8,26700.00,18100.00,44800.00,25.90,19.60,22.90,121200.00,73300.00,194500.00,11.20,8.40,10.00
2014,9,26300.00,17200.00,43500.00,25.70,18.80,22.40,118400.00,72100.00,190500.00,11.00,8.20,9.70
2014,10,26400.00,16100.00,42500.00,25.60,18.00,22.00,116200.00,69800.00,185900.00,10.80,8.00,9.50
2014,11,26600.00,15600.00,42100.00,25.60,17.50,21.90,114400.00,66900.00,181300.00,10.60,7.60,9.30
2014,12,26600.00,15500.00,42000.00,25.40,17.60,21.90,113000.00,64800.00,177800.00,10.50,7.40,9.10
2015,13,26800.00,15800.00,42700.00,25.50,18.20,22.20,111600.00,63100.00,174700.00,10.30,7.20,8.90
2015,14,26400.00,15800.00,42200.00,25.10,18.60,22.20,109800.00,62300.00,172100.00,10.20,7.10,8.80
2015,15,25300.00,15600.00,40900.00,24.30,18.40,21.70,108300.00,61900.00,170200.00,10.00,7.00,8.70
2015,16,24100.00,15300.00,39400.00,23.50,17.70,20.80,106300.00,63500.00,169900.00,9.80,7.20,8.60
2015,17,23300.00,15200.00,38500.00,22.90,17.50,20.40,105000.00,63300.00,168400.00,9.70,7.20,8.50
2015,18,23100.00,15000.00,38200.00,22.70,17.40,20.30,103600.00,61400.00,165000.00,9.50,6.90,8.40
2015,19,23400.00,15400.00,38800.00,22.90,17.80,20.60,102300.00,58400.00,160700.00,9.40,6.60,8.10
2015,20,23600.00,15400.00,39000.00,22.90,17.80,20.60,101500.00,56700.00,158200.00,9.30,6.40,8.00
2015,21,23700.00,15300.00,39000.00,22.80,17.40,20.30,100400.00,55000.00,155400.00,9.20,6.30,7.90
2015,22,23000.00,14500.00,37500.00,22.10,16.80,19.70,98500.00,56000.00,154500.00,9.10,6.30,7.80
2015,23,22600.00,14200.00,36800.00,21.70,16.60,19.40,97900.00,56600.00,154500.00,9.00,6.40,7.80
2015,24,22300.00,14000.00,36200.00,21.40,16.50,19.20,97200.00,57200.00,154400.00,8.90,6.40,7.80
2016,25,21300.00,11800.00,33100.00,21.30,13.80,17.80,98700.00,52100.00,150700.00,9.10,5.90,7.60
2016,26,20900.00,11600.00,32500.00,20.60,13.40,17.30,96500.00,51500.00,148000.00,8.90,5.80,7.50
2016,27,20900.00,12300.00,33100.00,20.10,13.50,17.00,94900.00,51900.00,146900.00,8.70,5.80,7.40
2016,28,21600.00,13500.00,35100.00,19.90,14.00,17.10,93500.00,53000.00,146500.00,8.60,6.00,7.40
2016,29,21800.00,14300.00,36200.00,19.80,14.60,17.30,93100.00,53700.00,146800.00,8.50,6.00,7.40
2016,30,21800.00,15300.00,37100.00,19.90,15.70,17.90,92600.00,54400.00,147000.00,8.50,6.10,7.40
2016,31,21500.00,15500.00,37000.00,19.40,15.70,17.70,92700.00,53600.00,146300.00,8.50,6.00,7.40
2016,32,20800.00,14800.00,35600.00,18.90,15.10,17.10,92800.00,53200.00,146000.00,8.50,5.90,7.30
2016,33,30000.00,18100.00,48100.00,18.90,13.00,16.10,78000.00,58600.00,136600.00,7.10,6.40,6.70
2016,34,29200.00,19500.00,48700.00,18.80,13.90,16.50,73500.00,57700.00,131200.00,6.60,6.30,6.50
2016,35,27800.00,19900.00,47700.00,18.40,14.20,16.30,70500.00,57900.00,128400.00,6.40,6.30,6.30
2016,36,25800.00,19400.00,45200.00,17.30,13.80,15.60,70400.00,58300.00,128700.00,6.30,6.30,6.30
2017,37,23500.00,18200.00,41600.00,15.90,12.90,14.50,71500.00,59500.00,131000.00,6.40,6.40,6.40
2017,38,22200.00,17000.00,39100.00,15.20,12.20,13.70,72000.00,58900.00,131000.00,6.40,6.30,6.40
2017,39,23500.00,16400.00,39900.00,16.10,11.90,14.10,70100.00,54400.00,124500.00,6.30,5.80,6.10
2017,40,25000.00,16100.00,41200.00,17.10,11.90,14.60,67600.00,49000.00,116600.00,6.10,5.30,5.70
2017,41,25600.00,16100.00,41700.00,17.60,12.10,15.00,65900.00,46000.00,111900.00,5.90,5.00,5.50
2017,42,24600.00,16600.00,41200.00,17.30,12.70,15.10,65500.00,45700.00,111100.00,5.80,4.90,5.40
2017,43,22700.00,17400.00,40000.00,16.60,13.70,15.20,66100.00,49600.00,115700.00,5.90,5.30,5.60
2017,44,21700.00,17400.00,39100.00,16.00,13.90,15.00,66300.00,49700.00,116000.00,5.80,5.20,5.60
2017,45,21500.00,17000.00,38500.00,15.60,13.60,14.70,66700.00,51000.00,117600.00,5.90,5.40,5.60
2017,46,21900.00,15800.00,37800.00,15.20,12.50,14.00,67000.00,51000.00,118000.00,5.90,5.30,5.60
2017,47,21700.00,15000.00,36700.00,14.80,11.70,13.40,65000.00,50600.00,115600.00,5.70,5.30,5.50
2017,48,21500.00,15100.00,36700.00,14.50,11.80,13.20,62100.00,48600.00,110700.00,5.50,5.10,5.30
2018,49,21400.00,15800.00,37200.00,14.50,12.30,13.50,57400.00,46000.00,103400.00,5.10,4.80,5.00
2018,50,21100.00,16200.00,37300.00,14.40,12.70,13.60,55200.00,44800.00,100000.00,4.90,4.70,4.80
2018,51,21600.00,16800.00,38300.00,14.70,13.10,13.90,54500.00,44400.00,98900.00,4.80,4.60,4.70
2018,52,21900.00,16600.00,38600.00,14.90,12.90,14.00,55100.00,44600.00,99600.00,4.80,4.60,4.70
2018,53,22400.00,17100.00,39500.00,15.20,13.10,14.20,55300.00,44500.00,99800.00,4.90,4.60,4.70
2018,54,22100.00,17300.00,39400.00,15.10,13.10,14.20,54900.00,44400.00,99300.00,4.80,4.60,4.70
2018,55,21600.00,17500.00,39100.00,15.10,13.60,14.40,54900.00,45400.00,100300.00,4.80,4.60,4.70
2018,56,20700.00,16600.00,37300.00,14.70,13.00,13.90,54300.00,42700.00,96900.00,4.70,4.40,4.60
2018,57,19600.00,15100.00,34700.00,13.70,12.00,12.90,53600.00,41100.00,94800.00,4.70,4.20,4.50
2018,58,23000.00,16300.00,39300.00,15.00,12.10,13.60,49000.00,49400.00,98400.00,4.30,5.10,4.70
2018,59,22800.00,15400.00,38200.00,14.80,11.70,13.40,48700.00,48500.00,97300.00,4.30,5.00,4.60
2018,60,22500.00,15200.00,37700.00,14.60,11.50,13.20,48900.00,44600.00,93500.00,4.30,4.60,4.40
2019,61,21500.00,14500.00,36000.00,14.10,10.70,12.50,48600.00,38500.00,87200.00,4.20,3.90,4.10
2019,62,21500.00,14500.00,36100.00,14.20,10.40,12.40,48300.00,35800.00,84000.00,4.20,3.70,3.90
2019,63,22900.00,14600.00,37500.00,15.10,10.40,12.90,47100.00,36900.00,84000.00,4.10,3.80,3.90
2019,64,24000.00,15000.00,39000.00,16.10,10.70,13.50,45800.00,40300.00,86100.00,4.00,4.10,4.00
2019,65,24800.00,15500.00,40300.00,16.70,11.00,14.00,45100.00,40400.00,85500.00,3.90,4.20,4.00
2019,66,24300.00,15500.00,39800.00,16.10,11.20,13.70,45600.00,39700.00,85300.00,3.90,4.10,4.00
2019,67,23000.00,15100.00,38000.00,14.90,11.00,13.10,47100.00,37800.00,84800.00,4.10,3.90,4.00
2019,68,21300.00,14500.00,35800.00,13.80,10.70,12.40,47800.00,36400.00,84200.00,4.10,3.70,3.90
2019,69,19700.00,14300.00,34000.00,12.90,10.30,11.70,47400.00,35900.00,83300.00,4.10,3.70,3.90
2019,70,17100.00,14200.00,31300.00,11.40,10.00,10.70,46400.00,36400.00,82800.00,4.00,3.70,3.80
2019,71,17200.00,14400.00,31600.00,11.50,9.90,10.70,46200.00,37100.00,83400.00,3.90,3.80,3.90
2019,72,19000.00,14900.00,33900.00,12.30,10.10,11.20,46200.00,37800.00,83900.00,3.90,3.80,3.90
2020,73,22600.00,15000.00,37600.00,13.70,9.90,11.90,46000.00,39200.00,85200.00,3.90,3.90,3.90
2020,74,22200.00,15100.00,37300.00,13.60,10.20,12.00,45800.00,38700.00,84400.00,3.90,3.90,3.90
2020,75,20500.00,16100.00,36600.00,13.40,11.70,12.60,46100.00,38400.00,84400.00,4.00,3.90,3.90
2020,76,15800.00,16900.00,32700.00,12.10,14.00,13.00,45500.00,30000.00,75600.00,4.00,3.20,3.60
2020,77,14800.00,18500.00,33300.00,12.30,16.10,14.20,46300.00,29800.00,76100.00,4.10,3.20,3.70
2020,78,17500.00,20800.00,38300.00,14.20,17.60,15.90,48700.00,35100.00,83800.00,4.30,3.70,4.00
2020,79,24800.00,22700.00,47500.00,18.10,17.40,17.80,52800.00,47700.00,100500.00,4.60,4.90,4.70
2020,80,28600.00,23200.00,51900.00,19.60,16.80,18.20,55900.00,56800.00,112700.00,4.80,5.70,5.20
2020,81,33700.00,25900.00,59700.00,21.70,17.70,19.80,58100.00,62700.00,120800.00,4.90,6.30,5.60
2020,82,32900.00,24700.00,57600.00,21.40,16.60,19.00,59500.00,63400.00,123000.00,5.00,6.40,5.60
